Date,pH,Alkalinity (mg CaCO3/L),VFA (mg CH3COOH/L),VFA/Alkalinity
4,6.25,420,474,1.1286
8,5.78,1050,1356,1.2914
11,7.89,7540,2586,0.343
14,7.65,8145,3594,0.4413
18,7.62,7050,4140,0.5872
21,7.56,7000,4740,0.6771
25,7.58,6700,5100,0.7612
28,7.55,5850,4560,0.7795
32,7.32,5650,4680,0.8283
35,7.35,5050,4320,0.8554
39,6.98,5000,4980,0.996
42,7.23,4500,4500,1
46,6.65,4400,4740,1.0773
49,6.53,4600,5040,1.0957
53,6.28,4400,5160,1.1727
56,6.16,4150,4860,1.1711
60,6.5,4150,4860,1.1711
63,6.48,4250,4800,1.1294
67,6.75,3600,3960,1.1
70,6.88,3950,4140,1.0481
74,7.31,3450,3300,0.9565
77,7.21,3950,3840,0.9722
81,7.2,4050,3480,0.8593
