Dados,,Calculo Alcalinidade,,,,Calculo AGV,,,,
Data,volume amostra (mL),pH inicial,Volume Acido (mL),Alcalinidade (mg CaCO3/L),N acido,pH inicial,Volume Base (mL),AGV (mg CH3COOH/L),N base,AGV/Alcalinidade
22/05/2026,50,6.25,4.2,420.0000,0.1,4.05,3.95,474.0000,0.1,1.1286
26/05/2026,50,5.78,10.5,1050.0000,0.1,4.01,11.3,1356.0000,0.1,1.2914
29/05/2026,50,7.89,75.4,7540.0000,0.1,4.01,21.55,2586.0000,0.1,0.3430
01/06/26,50,7.65,81.45,8145.0000,0.1,4.01,29.95,3594.0000,0.1,0.4413
05/06/26,50,7.62,7.05,7050.0000,1,4.06,3.45,4140.0000,1,0.5872
08/06/26,50,7.56,7,7000.0000,1,4.02,3.95,4740.0000,1,0.6771
12/06/26,50,7.58,6.7,6700.0000,1,4.03,4.25,5100.0000,1,0.7612
15/06/2026,50,7.55,5.85,5850.0000,1,4.03,3.8,4560.0000,1,0.7795
19/06/2026,50,7.32,5.65,5650.0000,1,4.04,3.9,4680.0000,1,0.8283
22/06/2026,50,7.35,5.05,5050.0000,1,4.02,3.6,4320.0000,1,0.8554
26/06/2026,50,6.98,5,5000.0000,1,4.02,4.15,4980.0000,1,0.9960
29/06/2026,50,7.23,4.5,4500.0000,1,4,3.75,4500.0000,1,1.0000
03/07/26,50,6.65,4.4,4400.0000,1,4.01,3.95,4740.0000,1,1.0773
06/07/26,50,6.53,4.6,4600.0000,1,4.03,4.2,5040.0000,1,1.0957
10/07/26,50,6.28,4.4,4400.0000,1,4.02,4.3,5160.0000,1,1.1727
13/07/2026,50,6.16,4.15,4150.0000,1,4.08,4.05,4860.0000,1,1.1711
17/07/2026,50,6.5,4.15,4150.0000,1,4.03,4.05,4860.0000,1,1.1711
20/07/2026,50,6.48,4.25,4250.0000,1,4.02,4,4800.0000,1,1.1294
24/07/2026,50,6.75,3.6,3600.0000,1,4.01,3.3,3960.0000,1,1.1000
27/07/2026,50,6.88,3.95,3950.0000,1,4.07,3.45,4140.0000,1,1.0481
31/07/2026,50,7.31,3.45,3450.0000,1,4.08,2.75,3300.0000,1,0.9565
03/08/26,50,7.21,3.95,3950.0000,1,4,3.2,3840.0000,1,0.9722
07/08/26,50,7.2,4.05,4050.0000,1,4.08,2.9,3480.0000,1,0.8593
