Day,Volume (NmL),Flow (nML/d)
0,0,0
1,0,0
2,0,0
3,1.1,1.1
4,9.1,8
5,13.4,4.4
6,29.8,16.4
7,55.8,25.9
8,124.6,68.9
9,149.1,24.4
10,217.4,68.3
11,267.9,50.5
12,305.8,37.9
13,350.2,44.4
14,393.7,43.4
15,430.7,37
16,478.4,47.7
17,522.9,44.5
18,568.4,45.5
19,611,42.6
20,646.2,35.2
21,680.1,34
22,706.8,26.6
23,734.6,27.8
24,758.9,24.4
25,798,39.1
26,820.2,22.2
27,846.5,26.3
28,871.2,24.6
29,897.9,26.7
30,923.4,25.5
31,960.1,36.8
32,1012.3,52.2
33,1045.1,32.8
34,1091.2,46.1
35,1162.8,71.6
36,1214.3,51.5
37,1272.6,58.3
38,1332.7,60.2
39,1387.8,55.1
40,1446.6,58.8
41,1498.8,52.2
42,1546.5,47.7
43,1597.9,51.4
44,1645.9,48
45,1691.1,45.1
46,1718.7,27.6
47,1771.4,52.8
48,1819.2,47.8
49,1864.1,44.9
50,1910.4,46.3
51,1954.8,44.4
52,2008.8,54
53,2115.5,106.7
54,2137,21.5
55,2188.6,51.6
56,2225.1,36.5
57,2261.5,36.4
58,2291,29.5
59,2320.4,29.3
60,2335.5,15.1
61,2366,30.6
62,2396.5,30.5
63,2412.3,15.8
64,2442.5,30.3
65,2473.2,30.7
66,2504,30.8
67,2527,23
68,2565,38
69,2596.7,31.7
70,2626.7,30
71,2664.8,38.1
72,2695.4,30.6
73,2726,30.6
74,2748.9,22.9
75,2771.9,23
76,2795.2,23.3
77,2825,29.8
78,2832.9,7.9
79,2848.4,15.5
80,2871.5,23.1
81,2886.7,15.2
82,2899.2,12.5
83,2932.6,33.5
84,2963.4,30.7
85,2994.2,30.9
86,3025.7,31.5
87,3063.2,37.5
88,3094.4,31.2
89,3124,29.6
90,3154.4,30.4
91,3169.7,15.3
92,3192.6,22.9
93,3207.8,15.2
94,3223,15.2
95,3238.4,15.3
96,3253.7,15.4
97,3276.1,25.1
