"CO2 concentration [%] of flush gas",0,
"Process temperature [Celsius]",37,
"Mixer on time [min]",2,
"Mixer off time [min]",15,
"Mixer speed adjustment [%]",40,
"Eliminate overestimation","Yes",
"",
"Flow Cell nr.",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
"Name","S1_oz(0%)_I/S(1)","S2_oz(0%)_I/S(1.5)","s3_oz(0%_(I/S(1.5)","s3_oz(0%)_(s/I(2)","Oz5%_30sec_I/S(1)","Oz5%_90sec_I/S(1)","TEST 2","TEST 1","Oz5%_30sec_I/S(2)","Oz5%_90sec_I/S(2)","R2 TESTE","Oz 10%_30sec_I/S(1.5)","Oz10%_60sec_I/S(2)","Reactor 2 stages","Reactor 1 stage",
"Substrate VS/COD amount [g]",24.15,18.64,18.64,15.18,24.15,24.15,0,0,15.18,15.18,247.47,18.64,15.18,3.6,0.36,
"Inoculum VS/COD amount [g]",24.15,27.96,27.96,30.36,24.15,24.15,0,0,30.36,30.36,494.94,27.96,30.36,3.6,0.36,
"Type of unit [VS/COD]","VS","VS","VS","VS","VS","VS","COD","COD","VS","VS","COD","VS","VS","VS","COD",
"Headspace volume [ml]",150,150,150,150,150,150,0,0,150,150,5500,150,150,200,200,
"Assumed CH4 content [%]",0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,
"",
"Day","S1_oz(0%)_I/S(1) Volume [Nml]","S2_oz(0%)_I/S(1.5) Volume [Nml]","s3_oz(0%_(I/S(1.5) Volume [Nml]","s3_oz(0%)_(s/I(2) Volume [Nml]","Oz5%_30sec_I/S(1) Volume [Nml]","Oz5%_90sec_I/S(1) Volume [Nml]","TEST 2 Volume [Nml]","TEST 1 Volume [Nml]","Oz5%_30sec_I/S(2) Volume [Nml]","Oz5%_90sec_I/S(2) Volume [Nml]","R2 TESTE Volume [Nml]","Oz 10%_30sec_I/S(1.5) Volume [Nml]","Oz10%_60sec_I/S(2) Volume [Nml]","Reactor 2 stages Volume [Nml]","Reactor 1 stage Volume [Nml]","S1_oz(0%)_I/S(1) Flow [Nml/day]","S2_oz(0%)_I/S(1.5) Flow [Nml/day]","s3_oz(0%_(I/S(1.5) Flow [Nml/day]","s3_oz(0%)_(s/I(2) Flow [Nml/day]","Oz5%_30sec_I/S(1) Flow [Nml/day]","Oz5%_90sec_I/S(1) Flow [Nml/day]","TEST 2 Flow [Nml/day]","TEST 1 Flow [Nml/day]","Oz5%_30sec_I/S(2) Flow [Nml/day]","Oz5%_90sec_I/S(2) Flow [Nml/day]","R2 TESTE Flow [Nml/day]","Oz 10%_30sec_I/S(1.5) Flow [Nml/day]","Oz10%_60sec_I/S(2) Flow [Nml/day]","Reactor 2 stages Flow [Nml/day]","Reactor 1 stage Flow [Nml/day]",
0,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
1,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
2,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
3,"","","","","","","","","","","","","",0,1.1,"","","","","","","","","","","","","",0,1.1,
4,"","","","","","","","","","","","","",0,9.1,"","","","","","","","","","","","","",0,8,
5,"","","","","","","","","","","","","",0,13.4,"","","","","","","","","","","","","",0,4.4,
6,"","","","","","","","","","","","","",0,29.8,"","","","","","","","","","","","","",0,16.4,
7,"","","","","","","","","","","","","",0,55.8,"","","","","","","","","","","","","",0,25.9,
8,"","","","","","","","","","","","","",0,124.6,"","","","","","","","","","","","","",0,68.9,
9,"","","","","","","","","","","","","",0,149.1,"","","","","","","","","","","","","",0,24.4,
10,"","","","","","","","","","","","","",0,217.4,"","","","","","","","","","","","","",0,68.3,
11,"","","","","","","","","","","","","",0,267.9,"","","","","","","","","","","","","",0,50.5,
12,"","","","","","","","","","","","","",0,305.8,"","","","","","","","","","","","","",0,37.9,
13,"","","","","","","","","","","","","",0,350.2,"","","","","","","","","","","","","",0,44.4,
14,"","","","","","","","","","","","","",0,393.7,"","","","","","","","","","","","","",0,43.4,
15,"","","","","","","","","","","","","",0,430.7,"","","","","","","","","","","","","",0,37,
16,"","","","","","","","","","","","","",0,478.4,"","","","","","","","","","","","","",0,47.7,
17,"","","","","","","","","","","","","",0,522.9,"","","","","","","","","","","","","",0,44.5,
18,"","","","","","","","","","","","","",0,568.4,"","","","","","","","","","","","","",0,45.5,
19,"","","","","","","","","","","","","",0,611,"","","","","","","","","","","","","",0,42.6,
20,"","","","","","","","","","","","","",0,646.2,"","","","","","","","","","","","","",0,35.2,
21,"","","","","","","","","","","","","",0.4,680.1,"","","","","","","","","","","","","",0.4,34,
22,"","","","","","","","","","","","","",0.4,706.8,"","","","","","","","","","","","","",0,26.6,
23,"","","","","","","","","","","","","",0.4,734.6,"","","","","","","","","","","","","",0,27.8,
24,"","","","","","","","","","","","","",0.4,758.9,"","","","","","","","","","","","","",0,24.4,
25,"","","","","","","","","","","","","",0.5,798,"","","","","","","","","","","","","",0,39.1,
26,"","","","","","","","","","","","","",0.5,820.2,"","","","","","","","","","","","","",0,22.2,
27,"","","","","","","","","","","","","",0.5,846.5,"","","","","","","","","","","","","",0,26.3,
28,"","","","","","","","","","","","","",0.6,871.2,"","","","","","","","","","","","","",0,24.6,
29,"","","","","","","","","","","","","",0.6,897.9,"","","","","","","","","","","","","",0,26.7,
30,"","","","","","","","","","","","","",0.6,923.4,"","","","","","","","","","","","","",0,25.5,
31,"","","","","","","","","","","","","",0.6,960.1,"","","","","","","","","","","","","",0,36.8,
32,"","","","","","","","","","","","","",0.7,1012.3,"","","","","","","","","","","","","",0,52.2,
33,"","","","","","","","","","","","","",0.7,1045.1,"","","","","","","","","","","","","",0,32.8,
34,"","","","","","","","","","","","","",0.7,1091.2,"","","","","","","","","","","","","",0,46.1,
35,"","","","","","","","","","","","","",0.8,1162.8,"","","","","","","","","","","","","",0,71.6,
36,"","","","","","","","","","","","","",0.8,1214.3,"","","","","","","","","","","","","",0,51.5,
37,"","","","","","","","","","","","","",0.8,1272.6,"","","","","","","","","","","","","",0,58.3,
38,"","","","","","","","","","","","","",0.8,1332.7,"","","","","","","","","","","","","",0,60.2,
39,"","","","","","","","","","","","","",0.9,1387.8,"","","","","","","","","","","","","",0,55.1,
40,"","","","","","","","","","","","","",0.9,1446.6,"","","","","","","","","","","","","",0,58.8,
41,"","","","","","","","","","","","","",0.9,1498.8,"","","","","","","","","","","","","",0,52.2,
42,"","","","","","","","","","","","","",1,1546.5,"","","","","","","","","","","","","",0,47.7,
43,"","","","","","","","","","","","","",1,1597.9,"","","","","","","","","","","","","",0,51.4,
44,"","","","","","","","","","","","","","",1645.9,"","","","","","","","","","","","","","",48,
45,"","","","","","","","","","","","","","",1691.1,"","","","","","","","","","","","","","",45.1,
46,"","","","","","","","","","","","","","",1718.7,"","","","","","","","","","","","","","",27.6,
47,"","","","","","","","","","","","","","",1771.4,"","","","","","","","","","","","","","",52.8,
48,"","","","","","","","","","","","","","",1819.2,"","","","","","","","","","","","","","",47.8,
49,"","","","","","","","","","","","","","",1864.1,"","","","","","","","","","","","","","",44.9,
50,"","","","","","","","","","","","","","",1910.4,"","","","","","","","","","","","","","",46.3,
51,"","","","","","","","","","","","","","",1954.8,"","","","","","","","","","","","","","",44.4,
52,"","","","","","","","","","","","","","",2008.8,"","","","","","","","","","","","","","",54,
53,"","","","","","","","","","","","","","",2115.5,"","","","","","","","","","","","","","",106.7,
54,"","","","","","","","","","","","","","",2137,"","","","","","","","","","","","","","",21.5,
55,"","","","","","","","","","","","","","",2188.6,"","","","","","","","","","","","","","",51.6,
56,"","","","","","","","","","","","","","",2225.1,"","","","","","","","","","","","","","",36.5,
57,"","","","","","","","","","","","","","",2261.5,"","","","","","","","","","","","","","",36.4,
58,"","","","","","","","","","","","","","",2291,"","","","","","","","","","","","","","",29.5,
59,"","","","","","","","","","","","","","",2320.4,"","","","","","","","","","","","","","",29.3,
60,"","","","","","","","","","","","","","",2335.5,"","","","","","","","","","","","","","",15.1,
61,"","","","","","","","","","","","","","",2366,"","","","","","","","","","","","","","",30.6,
62,"","","","","","","","","","","","","","",2396.5,"","","","","","","","","","","","","","",30.5,
63,"","","","","","","","","","","","","","",2412.3,"","","","","","","","","","","","","","",15.8,
64,"","","","","","","","","","","","","","",2442.5,"","","","","","","","","","","","","","",30.3,
65,"","","","","","","","","","","","","","",2473.2,"","","","","","","","","","","","","","",30.7,
66,"","","","","","","","","","","","","","",2504,"","","","","","","","","","","","","","",30.8,
