"CO2 concentration [%] of flush gas",0,
"Process temperature [Celsius]",37,
"Mixer on time [min]",2,
"Mixer off time [min]",15,
"Mixer speed adjustment [%]",40,
"Eliminate overestimation","Yes",
"",
"Flow Cell nr.",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
"Name","S1_oz(0%)_I/S(1)","S2_oz(0%)_I/S(1.5)","s3_oz(0%_(I/S(1.5)","s3_oz(0%)_(s/I(2)","Oz5%_30sec_I/S(1)","Oz5%_90sec_I/S(1)","TEST 2","TEST 1","Oz5%_30sec_I/S(2)","Oz5%_90sec_I/S(2)","R2 TESTE","Oz 10%_30sec_I/S(1.5)","Oz10%_60sec_I/S(2)","Reactor 2 stages","Reactor 1 stage",
"Substrate VS/COD amount [g]",24.15,18.64,18.64,15.18,24.15,24.15,0,0,15.18,15.18,247.47,18.64,15.18,3.6,0.36,
"Inoculum VS/COD amount [g]",24.15,27.96,27.96,30.36,24.15,24.15,0,0,30.36,30.36,494.94,27.96,30.36,3.6,0.36,
"Type of unit [VS/COD]","VS","VS","VS","VS","VS","VS","COD","COD","VS","VS","COD","VS","VS","VS","COD",
"Headspace volume [ml]",150,150,150,150,150,150,0,0,150,150,5500,150,150,200,200,
"Assumed CH4 content [%]",0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,
"",
"Hour","S1_oz(0%)_I/S(1) Volume [Nml]","S2_oz(0%)_I/S(1.5) Volume [Nml]","s3_oz(0%_(I/S(1.5) Volume [Nml]","s3_oz(0%)_(s/I(2) Volume [Nml]","Oz5%_30sec_I/S(1) Volume [Nml]","Oz5%_90sec_I/S(1) Volume [Nml]","TEST 2 Volume [Nml]","TEST 1 Volume [Nml]","Oz5%_30sec_I/S(2) Volume [Nml]","Oz5%_90sec_I/S(2) Volume [Nml]","R2 TESTE Volume [Nml]","Oz 10%_30sec_I/S(1.5) Volume [Nml]","Oz10%_60sec_I/S(2) Volume [Nml]","Reactor 2 stages Volume [Nml]","Reactor 1 stage Volume [Nml]","S1_oz(0%)_I/S(1) Flow [Nml/hour]","S2_oz(0%)_I/S(1.5) Flow [Nml/hour]","s3_oz(0%_(I/S(1.5) Flow [Nml/hour]","s3_oz(0%)_(s/I(2) Flow [Nml/hour]","Oz5%_30sec_I/S(1) Flow [Nml/hour]","Oz5%_90sec_I/S(1) Flow [Nml/hour]","TEST 2 Flow [Nml/hour]","TEST 1 Flow [Nml/hour]","Oz5%_30sec_I/S(2) Flow [Nml/hour]","Oz5%_90sec_I/S(2) Flow [Nml/hour]","R2 TESTE Flow [Nml/hour]","Oz 10%_30sec_I/S(1.5) Flow [Nml/hour]","Oz10%_60sec_I/S(2) Flow [Nml/hour]","Reactor 2 stages Flow [Nml/hour]","Reactor 1 stage Flow [Nml/hour]",
0,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
1,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
2,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
3,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
4,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
5,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
6,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
7,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
8,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
9,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
10,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
11,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
12,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
13,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
14,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
15,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
16,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
17,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
18,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
19,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
20,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
21,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
22,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
23,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
24,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
25,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
26,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
27,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
28,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
29,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
30,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
31,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
32,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
33,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
34,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
35,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
36,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
37,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
38,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
39,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
40,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
41,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
42,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
43,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
44,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
45,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
46,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
47,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
48,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
49,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
50,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
51,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
52,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
53,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
54,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
55,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
56,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
57,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
58,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
59,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
60,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
61,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
62,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
63,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
64,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
65,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
66,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
67,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
68,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
69,"","","","","","","","","","","","","",0,0,"","","","","","","","","","","","","",0,0,
70,"","","","","","","","","","","","","",0,0.4,"","","","","","","","","","","","","",0,0.4,
71,"","","","","","","","","","","","","",0,0.9,"","","","","","","","","","","","","",0,0.5,
72,"","","","","","","","","","","","","",0,1.1,"","","","","","","","","","","","","",0,0.2,
